id	case	title	labels	milestone	body_file
MET-A-001	A	Derive the scenario domain model from the Metro alternative-operation presentations	case:A,epic:A-EP1,track:cross-team,type:spike,size:M,prio:must,status:blocked,needs:metro,provenance:aau-added	Sprint 1	bodies/MET-A-001.md
MET-A-002	A	Scenario reference data schema, persistence and seed loader	case:A,epic:A-EP1,track:backend,type:data,size:L,prio:must,status:blocked,needs:metro,provenance:aau-added	Sprint 2	bodies/MET-A-002.md
MET-A-003	A	Scenario state contract published and versioned	case:A,epic:A-EP1,track:cross-team,type:contract,size:M,prio:must,status:ready,provenance:aau-added	Sprint 1	bodies/MET-A-003.md
MET-A-004	A	Real-time propagation of scenario and position changes to connected clients	case:A,epic:A-EP3,track:backend,type:feature,size:L,prio:must,status:ready,needs:metro,provenance:metro	Sprint 2	bodies/MET-A-004.md
MET-A-005	A	Active scenario and own assignment readable with no network	case:A,epic:A-EP9,track:mobile,type:feature,size:L,prio:must,status:ready,needs:metro,provenance:aau-added	Sprint 3	bodies/MET-A-005.md
MET-A-006	A	Reconnection, reconciliation and exactly-once delivery of queued reports	case:A,epic:A-EP9,track:mobile,type:feature,size:L,prio:should,status:ready,provenance:aau-added	Sprint 4	bodies/MET-A-006.md
MET-A-007	A	Operator selects and activates a scenario from the predefined list	case:A,epic:A-EP2,track:frontend,type:feature,size:M,prio:must,status:ready,needs:metro,provenance:metro	Sprint 2	bodies/MET-A-007.md
MET-A-008	A	Required staffing for the active scenario shown to the operator	case:A,epic:A-EP2,track:frontend,type:feature,size:M,prio:must,status:ready,needs:metro,provenance:metro	Sprint 2	bodies/MET-A-008.md
MET-A-009	A	Operator changes or stands down the active scenario	case:A,epic:A-EP2,track:frontend,type:feature,size:S,prio:should,status:ready,provenance:metro	Sprint 3	bodies/MET-A-009.md
MET-A-010	A	Steward graphical scenario overview on the mobile client	case:A,epic:A-EP3,track:mobile,type:feature,size:L,prio:must,status:refine,needs:metro,provenance:metro	Sprint 3	bodies/MET-A-010.md
MET-A-011	A	Control-room live coverage overview with steward positions	case:A,epic:A-EP3,track:frontend,type:feature,size:L,prio:must,status:ready,needs:metro,provenance:metro	Sprint 3	bodies/MET-A-011.md
MET-A-012	A	Coverage gap rules and derived station state	case:A,epic:A-EP3,track:backend,type:feature,size:S,prio:should,status:refine,needs:metro,provenance:metro	Sprint 3	bodies/MET-A-012.md
MET-A-013	A	Steward sets current location with a single action	case:A,epic:A-EP4,track:mobile,type:feature,size:M,prio:must,status:ready,provenance:metro	Sprint 3	bodies/MET-A-013.md
MET-A-014	A	Steward marks a required station as covered	case:A,epic:A-EP4,track:mobile,type:feature,size:S,prio:should,status:ready,needs:metro,provenance:metro	Sprint 3	bodies/MET-A-014.md
MET-A-015	A	Steward status transitions	case:A,epic:A-EP4,track:mobile,type:feature,size:S,prio:should,status:ready,provenance:metro	Sprint 4	bodies/MET-A-015.md
MET-A-016	A	Operator sends a dispatch instruction to selected stewards	case:A,epic:A-EP5,track:backend,type:feature,size:M,prio:should,status:ready,needs:metro,provenance:metro	Sprint 4	bodies/MET-A-016.md
MET-A-017	A	Steward acknowledges a received instruction	case:A,epic:A-EP5,track:mobile,type:feature,size:S,prio:should,status:ready,provenance:metro	Sprint 4	bodies/MET-A-017.md
MET-A-018	A	Notification delivery decision and implementation for dispatch	case:A,epic:A-EP5,track:mobile,type:tech,size:M,prio:should,status:blocked,needs:metro,provenance:aau-added	Sprint 4	bodies/MET-A-018.md
MET-A-019	A	Scenario suggestion from a free-text incident description	case:A,epic:A-EP6,track:backend,type:feature,size:L,prio:should,status:refine,needs:metro,provenance:metro	Sprint 4	bodies/MET-A-019.md
MET-A-020	A	Evaluation set and measured accuracy for scenario suggestion	case:A,epic:A-EP6,track:backend,type:evaluation,size:M,prio:could,status:blocked,needs:metro,provenance:aau-added	Sprint 5	bodies/MET-A-020.md
MET-A-021	A	Response checklist for the active scenario	case:A,epic:A-EP6,track:frontend,type:feature,size:M,prio:should,status:refine,needs:metro,provenance:metro	Sprint 4	bodies/MET-A-021.md
MET-A-022	A	Dispatch message drafting from scenario templates	case:A,epic:A-EP6,track:frontend,type:feature,size:S,prio:could,status:refine,provenance:metro		bodies/MET-A-022.md
MET-A-023	A	Append-only incident event log with actor and timestamp	case:A,epic:A-EP7,track:backend,type:tech,size:L,prio:must,status:ready,needs:metro,provenance:metro	Sprint 2	bodies/MET-A-023.md
MET-A-024	A	Incident timeline reconstruction	case:A,epic:A-EP7,track:frontend,type:feature,size:M,prio:should,status:ready,needs:metro,provenance:metro	Sprint 5	bodies/MET-A-024.md
MET-A-025	A	Authentication and role-based interface routing	case:A,epic:A-EP8,track:backend,type:feature,size:M,prio:must,status:ready,needs:metro,provenance:metro	Sprint 2	bodies/MET-A-025.md
MET-A-026	A	Role and permission matrix enforced server-side	case:A,epic:A-EP8,track:backend,type:compliance,size:S,prio:should,status:blocked,needs:metro,provenance:metro	Sprint 3	bodies/MET-A-026.md
MET-A-027	A	Usability evaluation of the steward overview under time pressure	case:A,epic:A-EP3,track:cross-team,type:evaluation,size:M,prio:should,status:ready,needs:metro,provenance:aau-added	Sprint 5	bodies/MET-A-027.md
MET-A-028	A	Inheritance package for the 2027 cohort	case:A,epic:A-EP10,track:cross-team,type:tech,size:L,prio:must,status:ready,provenance:aau-added	Sprint 7	bodies/MET-A-028.md
MET-B-001	B	Evidence rule decision: is presence asserted by the system or confirmed by the steward?	case:B,epic:B-EP1,track:cross-team,type:spike,size:S,prio:must,status:blocked,needs:metro,provenance:metro	Sprint 1	bodies/MET-B-001.md
